"id" "sex" "education" "visibleMino" "yearsInQc" "program" "preTest" "postTest" "salaryPre" "salaryPost" "attitudeFr1" "attitudeFr2" "attitudeFr3" "attitudeFr4"
"308" "p308" "male" 15 "no" 5.3 "instruction" 54 75 47524 51016 4 4 4 4
"309" "p309" "female" 15 "no" 6.3 "instruction" 56 76 32455 36633 4 3 4 3
"310" "p310" "male" 9 "yes" 5.2 "instruction" 55 81 30159 34818 4 4 4 3
"311" "p311" "female" 8 "no" 9 "instruction" 36 56 35450 39679 3 3 3 2
"312" "p312" "male" 6 "no" 3.8 "instruction" 68 93 28923 33371 5 6 6 5
"313" "p313" "female" 13 "yes" 1.6 "instruction" 49 76 28027 32098 4 5 3 4
"314" "p314" "male" 18 "no" 8 "instruction" 51 65 45781 48710 3 4 2 4
"315" "p315" "female" 8 NA NA "instruction" 43 65 26761 31090 3 3 2 NA
"316" "p316" "male" 10 "yes" 5.6 "instruction" 47 71 31710 35401 4 4 5 5
"317" "p317" NA 6 "no" NA "instruction" NA NA 28196 31256 3 3 3 2
"318" "p318" "male" 10 "no" 6.8 "instruction" 29 49 38100 41949 2 3 2 4
"319" "p319" "female" 6 "yes" 6.3 "instruction" 51 77 20510 24264 4 6 5 3
"320" "p320" "male" 14 "no" 5.5 "instruction" 51 77 39201 43382 4 4 5 5
"321" "p321" "female" 11 "no" 4.9 "instruction" 44 74 27911 31391 4 4 5 4
"322" "p322" "male" 9 "yes" 4.7 "instruction" 56 82 36935 40545 4 3 4 4
"323" "p323" "female" 6 "no" 2.3 "instruction" 60 80 25852 30208 4 4 4 5
"324" "p324" "male" 16 "no" 4.3 "instruction" 51 73 35230 40134 4 3 3 4
"325" "p325" "female" 8 "yes" 3 "instruction" 68 91 30134 34511 5 5 6 5
"326" "p326" "male" 6 "no" 4.4 "instruction" 49 75 23414 27623 4 4 5 4
"327" "p327" "female" 6 "no" 5.2 "instruction" 65 89 30658 34331 4 4 2 3
"328" "p328" "male" 9 "yes" 7 "instruction" 72 95 35709 40510 5 4 4 5
"329" "p329" "female" 6 "no" 8.8 "instruction" 51 76 40600 44446 4 4 5 4
"330" "p330" "male" 19 "no" 3.6 "instruction" 50 81 40386 43859 4 3 6 5
"331" "p331" "female" 6 "yes" 3.4 "instruction" 64 94 22985 26906 5 6 5 5
"332" "p332" "male" 15 "no" 6.1 "instruction" 62 91 40975 44787 5 4 6 4
"333" "p333" NA 9 "no" NA "instruction" NA NA 33035 36319 4 5 4 4
"334" "p334" "male" 17 "yes" 7 "instruction" 35 57 48531 51626 3 3 4 3
"335" "p335" "female" 12 "no" 5.6 "instruction" 72 96 41887 44915 5 5 5 5
"336" "p336" "male" 12 "no" 6.5 "instruction" 24 52 38243 42070 3 4 3 4
"337" "p337" "female" 6 "yes" 8.4 "instruction" 46 71 31339 34817 4 3 4 3
"338" "p338" "male" 7 "no" 5.4 "instruction" 49 68 42796 47718 3 4 3 5
"339" "p339" "female" 11 "no" 5 "instruction" 34 51 41076 45347 3 3 4 4
"340" "p340" "male" 6 "yes" 3.6 "instruction" 34 55 20721 24339 3 2 4 3
"341" "p341" "female" 10 "no" 4.8 "instruction" 37 65 35615 40017 3 4 3 2
"342" "p342" "male" 13 "no" 3.8 "instruction" 58 82 38183 42081 4 3 4 4
"343" "p343" "female" 12 "yes" 5 "instruction" 45 62 20442 24316 3 4 2 1
"344" "p344" "male" 12 "no" 8.7 "instruction" 58 78 40741 45194 4 3 3 5
"345" "p345" "female" 6 "no" 5.2 "instruction" 37 57 28753 32647 3 3 3 2
"346" "p346" "male" 6 "yes" 7.7 "instruction" 57 78 17620 21273 4 3 4 4
"347" "p347" "female" 9 "no" 6.4 "instruction" 49 72 25899 30231 4 3 4 4
"348" "p348" "male" 13 "no" 4.2 "instruction" 60 86 35379 39177 4 4 5 6
"349" "p349" "female" 6 "yes" 6.1 "instruction" 43 71 22654 25857 4 3 5 3
"350" "p350" "male" 11 "no" 4.7 "instruction" 60 77 36746 41324 4 3 3 4
"351" "p351" NA 6 "no" NA "instruction" NA NA 27238 31893 3 3 2 2
"352" "p352" "male" 7 "yes" 5.6 "instruction" 73 100 29083 33060 5 5 5 3
"353" "p353" "female" 8 "no" 6.3 "instruction" 70 97 28790 33593 5 6 5 4
"354" "p354" "male" 9 "no" 5.8 "instruction" 52 77 44247 48570 4 5 4 3
"355" "p355" "female" 6 "yes" 5.6 "instruction" 53 79 28018 31847 4 5 4 2
"356" "p356" "male" 7 "no" 4.9 "instruction" 67 92 29968 34708 5 6 5 6
"357" "p357" "female" 8 "no" 2.3 "instruction" 33 59 19958 24628 3 3 4 2
"358" "p358" "male" 12 "yes" 7 "instruction" 57 86 39933 44334 4 3 3 4
"359" "p359" "female" 8 "no" 3.5 "instruction" 54 88 27120 30990 4 5 4 3
"360" "p360" "male" 6 "no" 7.9 "instruction" 68 87 31116 34970 4 3 3 4
"361" "p361" "female" 6 "yes" 7.7 "instruction" 28 55 26072 30010 3 3 4 4
"362" "p362" "male" 13 "no" 4.4 "instruction" 35 60 40938 46163 3 3 2 4
"363" "p363" "female" 6 "no" 5.4 "instruction" 42 61 38114 42087 3 3 3 3
"364" "p364" "male" 7 "yes" 6.5 "instruction" 64 89 27404 31216 4 4 5 4
"365" "p365" "female" 9 "no" 7.2 "instruction" 63 82 43126 46606 4 5 4 5
"366" "p366" "male" 7 "no" 6.5 "instruction" 55 79 31497 36089 4 3 3 4
"367" "p367" "female" 7 "yes" 4.8 "instruction" 49 63 27573 32234 3 4 4 3
"368" "p368" "male" 13 NA NA "instruction" 82 100 41233 44299 5 5 4 NA
"369" "p369" "female" 13 "no" 5.9 "instruction" 45 71 45209 49085 4 4 3 4
"370" "p370" "male" 15 "yes" 4.3 "instruction" 31 51 34220 37684 3 1 3 4
"371" "p371" "female" 11 "no" 3.1 "instruction" 63 94 40276 44435 5 6 6 6
"372" "p372" "male" 7 "no" 5.4 "instruction" 56 76 31134 34659 4 3 4 5
"373" "p373" "female" 8 "yes" 8.7 "instruction" 44 69 27162 29789 3 3 4 4
"374" "p374" "male" 20 "no" 4.8 "instruction" 68 90 47113 50784 4 4 3 4
"375" "p375" "female" 8 "no" 4.2 "instruction" 32 61 30592 34890 3 3 4 3
"376" "p376" "male" 12 "yes" 6.3 "instruction" 59 80 28778 33462 4 4 4 5
"377" "p377" "female" 9 "no" 5.8 "instruction" 58 86 30024 33379 4 4 3 3
"378" "p378" "male" 8 "no" 0.7 "instruction" 54 69 32390 35921 3 2 3 4
"379" "p379" "female" 8 "yes" 3.5 "instruction" 48 75 31249 34613 4 4 4 5
"380" "p380" "male" 6 "no" 4.8 "instruction" 41 66 32444 36192 3 1 5 4
"381" "p381" NA 9 "no" NA "instruction" NA NA 45612 49667 4 3 4 5
"382" "p382" "male" 14 "yes" 8.2 "instruction" 48 79 38796 42015 4 5 4 2
"383" "p383" "female" 10 "no" 2.7 "instruction" 44 70 31193 35751 4 5 5 3
"384" "p384" "male" 6 "no" 6.2 "instruction" 45 74 37673 41758 4 5 5 5
"385" "p385" "female" 9 "yes" 4.7 "instruction" 57 78 22945 27439 4 4 4 5
"386" "p386" "male" 23 "no" 5.5 "instruction" 39 60 53375 56730 3 3 2 2
"387" "p387" "female" 6 "no" 4.5 "instruction" 43 71 38654 43013 4 4 3 3
"388" "p388" "male" 10 "yes" 1.6 "instruction" 36 54 34124 38417 3 3 2 2
"389" "p389" "female" 7 "no" 10.2 "instruction" 44 63 41769 45793 3 3 2 2
"390" "p390" "male" 7 "no" 5.1 "instruction" 54 74 39500 43584 4 4 4 5
"391" "p391" "female" 8 "yes" 7.8 "instruction" 55 81 27588 30776 4 4 4 2
"392" "p392" "male" 8 "no" 7.9 "instruction" 61 84 36995 40993 4 4 3 4
"393" "p393" "female" 14 NA NA "instruction" 61 92 33685 36970 5 5 5 NA
"394" "p394" "male" 10 "yes" 6.2 "instruction" 61 79 26058 30078 4 4 5 4
"395" "p395" "female" 6 "no" 1.2 "instruction" 61 85 31051 35155 4 3 3 5
"396" "p396" "male" 6 "no" 4.7 "instruction" 56 75 40966 45174 4 4 5 5
"397" "p397" "female" 6 "yes" 4.2 "instruction" 42 65 12804 16989 3 4 1 4
"398" "p398" "male" 9 "no" 6.7 "instruction" 51 75 28934 33547 4 4 3 5
"399" "p399" "female" 12 "no" 2.8 "instruction" 43 66 39628 44044 3 3 3 1
"400" "p400" "male" 6 "yes" 7.6 "instruction" 70 91 27771 31502 5 6 5 5
"401" "p401" "female" 6 "no" 4.6 "control" 52 65 32300 34645 3 3 3 3
"402" "p402" "male" 6 "no" 5.5 "control" 26 46 18018 19755 2 3 2 2
"403" "p403" "female" 9 "yes" 4.1 "control" 62 77 34589 37339 4 3 3 5
"404" "p404" "male" 6 "no" 7.2 "control" 52 71 37318 39380 4 5 4 4
"405" "p405" "female" 13 "no" 4.2 "control" 25 38 38571 39748 2 2 2 2
"406" "p406" "male" 6 "yes" 3.4 "control" 55 60 15333 18384 3 2 4 4
"407" "p407" "female" 9 "no" 3.9 "control" 59 79 36728 38563 4 4 4 3
"408" "p408" "male" 16 "no" 8.8 "control" 41 61 53163 54987 3 4 3 3
"409" "p409" "female" 10 "yes" 3.2 "control" 63 77 22185 24735 4 4 4 4
"410" "p410" "male" 7 "no" 6.5 "control" 48 69 37542 40246 3 3 3 2
"411" "p411" "female" 6 "no" 1.1 "control" 57 75 25151 28500 4 4 5 3
"412" "p412" "male" 7 "yes" 5.1 "control" 59 72 30415 32012 4 4 5 4
"413" "p413" "female" 9 "no" 4.6 "control" 72 90 42751 44054 4 4 5 4
"414" "p414" "male" 14 "no" 3.7 "control" 54 68 39821 42041 3 3 3 4
"415" "p415" "female" 6 "yes" 2.6 "control" 45 61 26946 29649 3 3 3 2
"416" "p416" "male" 21 NA NA "control" 97 100 49570 52001 5 5 5 NA
"417" "p417" "female" 11 "no" 5.9 "control" 63 79 32165 34394 4 5 4 5
"418" "p418" "male" 11 "yes" 7.1 "control" 28 50 30943 33371 2 2 2 1
"419" "p419" "female" 6 "no" 10.3 "control" 59 71 39342 40775 4 5 4 3
"420" "p420" "male" 12 "no" 5 "control" 61 79 39957 42001 4 3 5 3
"421" "p421" "female" 9 "yes" 6 "control" 53 63 30945 33302 3 2 4 2
"422" "p422" "male" 18 "no" 6 "control" 41 56 50131 52353 3 3 4 4
"423" "p423" "female" 6 "no" 4.7 "control" 75 90 34505 36785 4 2 5 5
"424" "p424" "male" 16 "yes" 7.7 "control" 52 68 38287 39948 3 4 4 4
"425" "p425" "female" 7 "no" 6.8 "control" 50 62 31019 33426 3 3 4 4
"426" "p426" "male" 6 "no" 6.3 "control" 38 52 38400 39813 3 3 4 4
"427" "p427" "female" 14 "yes" 6.5 "control" 11 28 38008 40073 1 0 0 2
"428" "p428" "male" 9 "no" 3.5 "control" 63 68 35464 36677 3 2 4 3
"429" "p429" "female" 7 "no" 4.6 "control" 19 38 32923 35462 2 1 3 2
"430" "p430" "male" 14 "yes" 5.6 "control" 56 71 35746 37526 4 4 4 4
"431" "p431" "female" 13 "no" 7.8 "control" 40 60 39570 41297 3 3 4 3
"432" "p432" "male" 17 "no" 5.7 "control" 33 61 33138 34559 3 2 4 3
"433" "p433" "female" 7 "yes" 3.4 "control" 65 72 24887 26304 4 5 1 4
"434" "p434" "male" 6 "no" 4 "control" 77 87 35876 37903 4 3 3 3
"435" "p435" "female" 6 "no" 5.7 "control" 53 78 27652 29682 4 4 5 5
"436" "p436" "male" 13 "yes" 1.3 "control" 54 73 37640 39850 4 5 5 4
"437" "p437" "female" 6 "no" 4.1 "control" 52 70 26099 27417 4 2 4 4
"438" "p438" "male" 6 NA NA "control" 49 66 29096 30398 3 3 2 NA
"439" "p439" "female" 13 "yes" 7.4 "control" 55 67 37149 39054 3 2 2 2
"440" "p440" "male" 13 "no" 2 "control" 32 47 35286 37235 2 3 2 2
"441" "p441" "female" 9 "no" 5.3 "control" 67 84 34363 37594 4 4 4 3
"442" "p442" "male" 6 "yes" 4.5 "control" 58 82 15473 17693 4 5 4 3
"443" "p443" "female" 11 "no" 4.7 "control" 57 82 36219 38865 4 4 4 4
"444" "p444" "male" 11 "no" 4.2 "control" 53 70 36319 37729 4 5 4 3
"445" "p445" "female" 6 "yes" 2.2 "control" 54 80 20500 22664 4 4 5 4
"446" "p446" "male" 20 "no" 7.9 "control" 65 88 53994 55525 4 4 4 6
"447" "p447" "female" 9 "no" 7.6 "control" 46 64 36502 38427 3 5 3 2
"448" "p448" "male" 9 "yes" 4.4 "control" 44 59 35296 37434 3 3 3 3
"449" "p449" "female" 10 "no" 1.6 "control" 47 58 31563 34165 3 4 3 4
"450" "p450" "male" 6 "no" 5.4 "control" 59 73 32220 33932 4 4 3 4
"451" "p451" "female" 6 "yes" 4.3 "control" 55 67 22538 24245 3 3 3 3
"452" "p452" "male" 9 "no" 8.8 "control" 41 59 41259 42897 3 4 2 3
"453" "p453" "female" 6 "no" 5.8 "control" 71 86 28187 31127 4 2 6 5
"454" "p454" "male" 9 "yes" 3.7 "control" 65 85 24294 25630 4 5 4 4
"455" "p455" "female" 6 "no" 5.7 "control" 54 79 33198 36313 4 3 3 4
"456" "p456" "male" 6 "no" 7.8 "control" 53 61 33294 34978 3 4 3 4
"457" "p457" "female" 6 "yes" 5.5 "control" 36 49 26158 28229 2 2 2 2
"458" "p458" "male" 6 "no" 4.9 "control" 75 94 29197 31461 5 6 6 4
"459" "p459" "female" 11 "no" 6.9 "control" 49 65 42251 43948 3 2 4 3
"460" "p460" "male" 11 "yes" 7.2 "control" 47 60 35689 37572 3 3 2 3
"461" "p461" "female" 6 "no" 3.4 "control" 52 72 29752 31228 4 4 5 5
"462" "p462" "male" 6 "no" 7.8 "control" 44 63 32390 34236 3 5 2 4
"463" "p463" "female" 6 "yes" 5.2 "control" 50 70 18586 21194 4 3 4 5
"464" "p464" "male" 14 "no" 6.1 "control" 69 88 49618 51309 4 5 4 5
"465" "p465" "female" 12 "no" 5 "control" 28 40 30880 33635 2 2 2 3
"466" "p466" "male" 10 "yes" 5.7 "control" 37 49 29963 31800 2 2 3 2
"467" "p467" "female" 8 "no" 6.2 "control" 56 69 40835 42398 3 4 4 2
"468" "p468" "male" 6 "no" 4 "control" 68 88 26001 27970 4 5 4 4
"469" "p469" "female" 6 "yes" 6.9 "control" 78 92 20899 22815 5 4 5 5
"470" "p470" NA 6 "no" NA "control" NA NA 28872 31514 4 4 5 5
"471" "p471" "female" 6 "no" 5.4 "control" 37 48 28273 30517 2 3 1 2
"472" "p472" "male" 10 "yes" 6.7 "control" 59 77 26651 27864 4 3 5 4
"473" "p473" "female" 8 "no" 6.5 "control" 43 59 45395 47588 3 2 3 4
"474" "p474" "male" 6 "no" 6.6 "control" 64 76 30340 31731 4 4 4 3
"475" "p475" "female" 8 "yes" 7 "control" 72 92 34886 37145 5 6 5 5
"476" "p476" NA 15 "no" NA "control" NA NA 47492 49424 4 3 5 4
"477" "p477" "female" 11 "no" 5.7 "control" 59 81 42600 44164 4 3 4 3
"478" "p478" NA 12 "yes" NA "control" NA NA 27320 30241 2 3 4 2
"479" "p479" "female" 8 "no" 6.7 "control" 58 68 41989 43963 3 3 4 2
"480" "p480" "male" 9 "no" 8.3 "control" 52 63 38783 41216 3 3 4 2
"481" "p481" "female" 6 "yes" 5.9 "control" 17 28 23677 26838 1 1 1 1
"482" "p482" "male" 17 "no" 5.6 "control" 58 75 43940 45628 4 4 4 5
"483" "p483" "female" 11 "no" 5.7 "control" 68 72 38092 41075 4 4 3 4
"484" "p484" "male" 14 "yes" 7 "control" 30 42 46044 48130 2 2 2 2
"485" "p485" "female" 9 "no" 2.8 "control" 75 87 32632 35049 4 5 4 3
"486" "p486" "male" 11 "no" 2.1 "control" 90 99 30779 33063 5 5 6 5
"487" "p487" "female" 6 "yes" 5.3 "control" 52 65 26202 27584 3 3 4 2
"488" "p488" "male" 8 "no" 2.6 "control" 44 62 42196 44782 3 3 3 3
"489" "p489" "female" 12 "no" 5.7 "control" 54 70 31508 32852 4 5 5 4
"490" "p490" "male" 14 "yes" 5.4 "control" 71 84 43382 45365 4 5 4 4
"491" "p491" "female" 7 "no" 6.1 "control" 66 83 32890 35031 4 5 3 3
"492" "p492" "male" 18 "no" 2.3 "control" 42 61 35423 36808 3 3 5 3
"493" "p493" "female" 14 "yes" 5.4 "control" 72 86 46924 49017 4 6 5 5
"494" "p494" "male" 6 "no" 5 "control" 33 52 43650 45094 3 3 4 2
"495" "p495" "female" 11 "no" 3.4 "control" 36 47 40197 41365 2 0 2 4
"496" "p496" NA 6 "yes" NA "control" NA NA 30047 32191 4 3 5 5
"497" "p497" "female" 6 "no" 3.5 "control" 20 34 35480 37276 2 3 1 1
"498" "p498" "male" 7 "no" 4.3 "control" 25 42 39398 41714 2 2 2 2
"499" "p499" "female" 7 "yes" 2.8 "control" 43 59 35934 38624 3 5 3 2
"500" "p500" "male" 9 "no" 2.4 "control" 82 95 29971 31780 5 5 5 5
"501" "p501" "female" 9 "no" 8 "control" 35 41 39377 41139 2 1 2 2
"502" "p502" NA 6 "yes" NA "control" NA NA 24094 25136 2 2 3 0
"503" "p503" "female" 6 "no" 7.5 "control" 68 76 27160 28987 4 4 4 5
"504" "p504" NA 14 "no" NA "control" NA NA 52384 54309 5 3 5 5
"505" "p505" "female" 6 "yes" 4.1 "control" 56 71 24153 26193 4 4 5 3
"506" "p506" "male" 12 "no" 8.7 "control" 61 77 45961 49027 4 1 4 4
"507" "p507" "female" 6 "no" 5.2 "control" 32 43 29575 31421 2 1 2 2
"508" "p508" "male" 13 "yes" 4.4 "control" 43 63 39551 42300 3 3 4 2
"509" "p509" "female" 7 "no" 7 "control" 40 48 29321 32087 2 2 3 2
"510" "p510" "male" 18 "no" 4.7 "control" 45 67 45620 47355 3 3 2 4
"511" "p511" "female" 13 "yes" 0.6 "control" 43 58 33650 36202 3 3 3 3
"512" "p512" "male" 19 "no" 1.4 "control" 66 78 43338 44983 4 3 4 5
"513" "p513" "female" 11 "no" 7.6 "control" 55 66 45391 46302 3 3 2 4
"514" "p514" "male" 6 "yes" 5 "control" 54 74 26536 27865 4 4 5 4
"515" "p515" "female" 6 "no" 4.5 "control" 52 64 28917 30005 3 2 3 2
"516" "p516" "male" 7 "no" 6.7 "control" 50 65 40773 43361 3 3 2 3
"517" "p517" "female" 7 "yes" 2.2 "control" 63 81 22985 25255 4 4 4 4
"518" "p518" "male" 6 "no" 4.4 "control" 27 41 26747 28665 2 2 3 1
"519" "p519" "female" 10 "no" 5.7 "control" 58 76 45075 46925 4 5 4 4
"520" "p520" NA 10 "yes" NA "control" NA NA 34063 35480 4 4 3 3
"521" "p521" "female" 6 "no" 4.1 "control" 55 74 24640 27164 4 3 4 5
"522" "p522" "male" 10 "no" 6.5 "control" 35 45 46248 48460 2 3 2 0
"523" "p523" "female" 13 "yes" 4.3 "control" 45 64 40417 43057 3 3 3 2
"524" "p524" "male" 9 "no" 6.5 "control" 33 52 39115 40530 3 4 3 4
"525" "p525" "female" 6 "no" 3.3 "control" 52 64 19567 21615 3 3 3 4
"526" "p526" "male" 14 NA NA "control" 46 59 36881 39809 3 4 3 NA
"527" "p527" "female" 8 "no" 5.2 "control" 51 67 36385 37735 3 2 3 4
"528" "p528" "male" 6 "no" 3.8 "control" 48 67 25776 27590 3 3 3 3
"529" "p529" "female" 10 "yes" 5.9 "control" 80 94 32634 34073 5 6 4 5
"530" "p530" "male" 14 "no" 5.1 "control" 86 100 43639 45818 5 5 5 4
"531" "p531" "female" 7 "no" 4.5 "control" 21 39 34236 36123 2 3 3 1
"532" "p532" "male" 7 "yes" 3.5 "control" 59 79 32791 34554 4 3 3 4
"533" "p533" "female" 8 "no" 5.4 "control" 53 74 41243 42929 4 4 4 4
"534" "p534" "male" 12 "no" 6.9 "control" 53 62 39235 42389 3 4 2 2
"535" "p535" "female" 7 "yes" 1.3 "control" 54 73 26825 29543 4 3 3 3
"536" "p536" "male" 9 "no" 3.2 "control" 48 68 34892 36994 3 3 2 1
"537" "p537" "female" 6 "no" 8.8 "control" 45 59 34423 36754 3 3 3 3
"538" "p538" "male" 18 "yes" 4.1 "control" 26 50 35727 37537 2 3 1 2
"539" "p539" "female" 13 "no" 4.7 "control" 24 34 39563 41634 2 2 2 1
"540" "p540" "male" 13 "no" 0.1 "control" 68 79 36332 38272 4 4 4 5
"541" "p541" "female" 6 "yes" 3.3 "control" 70 80 24711 26949 4 5 5 4
"542" "p542" "male" 11 "no" 5.5 "control" 31 46 50728 53039 2 1 4 1
"543" "p543" "female" 10 "no" 5.2 "control" 50 67 35424 37200 3 3 3 4
"544" "p544" "male" 15 "yes" 6.6 "control" 35 50 39944 42218 2 2 3 3
"545" "p545" "female" 13 "no" 8.4 "control" 56 73 41078 43476 4 4 5 4
"546" "p546" "male" 9 "no" 4.3 "control" 2 22 45621 47957 1 2 1 0
"547" "p547" "female" 13 "yes" 5 "control" 41 56 35903 37602 3 3 4 3
"548" "p548" "male" 11 "no" 4.9 "control" 73 94 43391 45882 5 4 5 5
"549" "p549" "female" 11 "no" 6.1 "control" 41 60 41382 43388 3 4 4 5
"550" "p550" NA 14 "yes" NA "control" NA NA 39038 40034 4 4 4 5
"551" "p551" "female" 9 "no" 4.1 "control" 62 75 44435 45921 4 2 4 4
"552" "p552" "male" 19 "no" 4 "control" 65 85 43464 45357 4 5 3 5
"553" "p553" "female" 10 "yes" 3.4 "control" 46 72 30702 32029 4 3 5 4
"554" "p554" "male" 10 "no" 5.1 "control" 39 51 40280 42193 3 3 4 4
"555" "p555" "female" 9 "no" 5.5 "control" 66 91 42717 44643 5 7 5 6
"556" "p556" "male" 14 "yes" 6.1 "control" 51 70 33965 35586 4 5 4 4
"557" "p557" "female" 9 "no" 3.3 "control" 78 97 32026 33914 5 6 4 5
"558" "p558" "male" 9 "no" 5 "control" 48 63 32371 34453 3 3 4 3
"559" "p559" "female" 6 "yes" 4.8 "control" 48 67 20850 22584 3 4 4 2
"560" "p560" "male" 6 "no" 4.1 "control" 51 69 38199 39714 3 2 4 1
"561" "p561" "female" 6 "no" 4.4 "control" 76 97 31098 33627 5 5 5 5
"562" "p562" "male" 8 "yes" 3.9 "control" 37 47 31032 32767 2 2 1 3
"563" "p563" "female" 11 "no" 6.3 "control" 44 62 44041 46244 3 3 3 3
"564" "p564" "male" 6 "no" 5.5 "control" 47 68 27705 29369 3 4 3 3
"565" "p565" "female" 6 "yes" 6.4 "control" 36 46 26750 28927 2 2 2 2
"566" "p566" "male" 16 "no" 4.5 "control" 18 36 41481 43968 2 1 2 2
"567" "p567" "female" 7 "no" 4.3 "control" 53 64 25351 27756 3 3 3 3
"568" "p568" "male" 6 "yes" 3.7 "control" 35 55 14584 16910 3 3 2 3
"569" "p569" "female" 17 "no" 3 "control" 46 62 40348 42944 3 3 2 2
"570" "p570" "male" 6 "no" 5.4 "control" 50 64 30747 33253 3 2 3 2
"571" "p571" "female" 6 "yes" 2.3 "control" 58 73 20376 22448 4 6 4 3
"572" "p572" "male" 11 "no" 4.3 "control" 62 78 46758 49656 4 3 4 4
"573" "p573" "female" 11 "no" 3 "control" 80 100 26804 29271 5 5 6 7
"574" "p574" NA 14 "yes" NA "control" NA NA 31265 33952 2 3 2 3
"575" "p575" "female" 6 "no" 7.4 "control" 46 62 35336 36673 3 3 3 3
"576" "p576" "male" 15 "no" 1.8 "control" 61 71 38919 40287 4 4 5 3
"577" "p577" "female" 11 "yes" 3.3 "control" 60 71 31300 32529 4 4 5 6
"578" "p578" "male" 6 "no" 4.9 "control" 17 31 42409 44086 2 2 2 2
"579" "p579" NA 6 "no" NA "control" NA NA 33512 35847 4 4 3 5
"580" "p580" "male" 10 "yes" 5.9 "control" 52 70 38849 40503 4 3 5 4
"581" "p581" "female" 11 "no" 3.9 "control" 44 63 48114 50447 3 3 2 2
"582" "p582" "male" 8 "no" 8.2 "control" 72 91 46442 48423 5 3 4 5
"583" "p583" "female" 6 "yes" 5.7 "control" 35 51 30955 33126 3 4 3 3
"584" "p584" "male" 14 "no" 3.2 "control" 35 48 35165 37301 2 2 2 2
"585" "p585" "female" 10 "no" 2.1 "control" 54 66 32526 34200 3 2 3 4
"586" "p586" "male" 12 "yes" 4.8 "control" 59 79 31172 33173 4 4 3 5
"587" "p587" "female" 9 "no" 6.4 "control" 52 70 41081 43623 4 4 3 5
"588" "p588" "male" 6 "no" 7.1 "control" 62 82 32968 34926 4 4 4 5
"589" "p589" "female" 8 "yes" 3.6 "control" 57 74 30427 32318 4 4 5 4
"590" "p590" "male" 10 "no" 4.3 "control" 26 44 38683 40880 2 1 2 2
"591" "p591" "female" 6 "no" 4.5 "control" 59 77 29647 32302 4 4 5 3
"592" "p592" "male" 9 "yes" 7.2 "control" 52 66 36122 38315 3 3 1 3
"593" "p593" "female" 12 "no" 6.3 "control" 32 51 43426 45490 3 2 4 3
"594" "p594" "male" 6 "no" 7.3 "control" 34 55 26762 28393 3 3 2 5
"595" "p595" "female" 9 "yes" 5 "control" 45 55 20871 22799 3 2 2 2
"596" "p596" "male" 6 "no" 8 "control" 54 72 27730 29904 4 4 3 4
"597" "p597" "female" 10 "no" 7.5 "control" 46 65 39963 41865 3 4 5 3
"598" "p598" "male" 7 "yes" 5.7 "control" 37 46 43002 45693 2 2 1 1
"599" "p599" "female" 9 "no" 4.3 "control" 61 75 37858 39524 4 4 4 5
"600" "p600" "male" 6 "no" 7.5 "control" 50 65 27234 29341 3 3 4 4
